shelter,number,lat,lon
"darlington shelter",451,40.302,-77.0869
"u.s.11 carlisle, pa (motel)",22,None,None
"jack's gap",2,None,None
"pack wolfe shelter",2,None,None
"fireman's pavilion",2,None,None
"wallace gap (shuttled to franklin)",1,None,None
"wasleigh stream lean to",1,None,None
"watertown, ma",4,None,None
"north carolina - standing indian",2,None,None
"wilber clearing lean to",14,None,None
"lehigh gap, pa",181,None,None
"pearisburg - sylvia's theatre",6,None,None
"sassafrass shelter",28,None,None
"savage falls, middle tn",6,None,None
"uncle johnnys hostel",12,None,None
"us2/gorham",25,None,None
"cap aux os",1,None,None
"chapman rd",6,None,None
"tracking mailar, mile marker 76.3, blue ridge pkwy",34,None,None
"bears den hiker hostel",12,None,None
"celebration!!!!",16,None,None
"woods rd area stealth site",4,None,None
"camping on rocks",4,None,None
"dennis cove road (u.s. 321)",2,None,None
"bull gap campsite",20,None,None
"some where on the ridge",2,None,None
"jackson, wy",1,None,None
"roane high knob shelter",6,None,None
"pa hwy 183",2,None,None
"pacific crest trail or motherhood",80,None,None
"harper's ferry va. motel",2,None,None
"wright motel",2,None,None
"the wilde's house",2,None,None
"ashby gap",239,None,None
"pavilion @ port clinton",14,None,None
"kinsmans notch, nh",14,None,None
"now we can get on the at",1,None,None
"stairs at waterville road, tennessee",1,None,None
"bartram campsite",4,None,None
"powell mountain",7,None,None
"wallace gap - nantahala river",8,None,None
"plugger's house",45,None,None
"rt 522 near front royal",3,None,None
"trois soeurs shelter",2,None,None
"1.5 mi. s. grafton notch",8,None,None
"hurricane, utah",4,None,None
"shaker campsite 995",2,None,None
"va608",4,None,None
"telephone pioneers shelter",4,41.60382,-73.6188
"campsite @ 577 miles",1,None,None
"sassafras gap shelter",699,35.33087,-83.66688
"pinnacle campsite",22,None,None
"rocksmouth shelter",2,None,None
"from college to earning a degree in mountaineering",7,None,None
"nj 74 - vernon, st thomas hostel",8,None,None
"mt. avery tent site",51,None,None
"mt. wilcox north lean -to",2,None,None
"some sort of lean-to. i weep for her.",1,None,None
"kay wood leanto",24,None,None
"another stream!",6,None,None
"cheaoh bald",2,None,None
"rector laurel road",10,None,None
"campsite near va hwy 606",2,None,None
"harmon hill brattleboro - vt",2,None,None
".5 mile past nuclear lake",30,None,None
"kenosha, wi",1,None,None
"asheville, nc",124,None,None
"stealth site, speck mountain",2,None,None
"where ever we get",1,None,None
"tye river, va. hwy. 56",2,None,None
"us 321. hampton",1,None,None
"hogwallow campsite",12,None,None
"green to granite",6,None,None
"pa woods",2,None,None
"bed (a real bed)",3,None,None
"carver's gap,nc",18,None,None
"hiawaseg",1,None,None
"ice water springs",123,None,None
"hall mtn shelter",52,None,None
"tacoma ted & mala help celebrate my first 100 mile",5,None,None
"tent site near virginia 620",1,None,None
"the river weasel has less than 100-miles to go!",1,None,None
"campsite at sawyer notch",4,None,None
"saddleback junior",60,None,None
"car parked at va 606",3,None,None
"wawayand shelter",6,None,None
"blackburg at center",2,None,None
"amy's stumpy hotel/bethlehem",42,None,None
"bulls bridge road",63,None,None
"madison tentsite",2,None,None
"campsite near bearfence mtn. hut",4,None,None
"winhall river",61,None,None
"sugar loaf mtn warming hut",65,None,None
"iron mansion",4,None,None
"bearfence mt. hut",58,None,None
"old barn near vt12",8,None,None
"angler's inn - harpers ferry",36,None,None
"waynesboro and beyond",4,None,None
"carrying place stream",8,None,None
"trail maps to towns cross reference",1,None,None
"chatahoochee gap",6,None,None
"tenting north of cogdom shelter",2,None,None
"sweatfest ii",6,None,None
"windmills of yappy's mind",2,None,None
"palmerton (jailhouse hostel)",8,None,None
"big meadows campsite and lodge",11,None,None
"spring just past us 19e",15,None,None
"cow pen gap shelter",2,None,None
"hitch to gatlinburg for church & resupply",3,None,None
"pineola inn",2,None,None
"white cap mtn",6,None,None
"andover; south arm rd.",24,None,None
"poplar ridge stealth",12,None,None
"bartrum trail junction",1,None,None
"rt. 25a",20,None,None
"deep ap shelter",1,None,None
"roanoak",2,None,None
"south arm road, andover, me",91,None,None
"moxie bald summit",2,None,None
"hemlock springs campsite, n.y.",12,None,None
"abingdon - days inn",2,None,None
"trailhead to bear spring (harper's ferry w va)",8,None,None
"sauer hollow shelter",4,None,None
"smith shelter campsite",30,None,None
"highland lodge bunkhouse",14,None,None
"munich",1,None,None
"1/2 mile north of sawmill run overlook",4,None,None
"ct rt. 341 (kent)",22,None,None
"graymore friary",20,None,None
"observation tower",58,None,None
"dalton, tom levarti's yard",4,None,None
"somewhere, head'n south",8,None,None
"nolochucky river hostel",2,None,None
"what's this hike business all about?",1,None,None
"stream before rattlesnake mountain",172,None,None
"newfoound gap-on to gatlinburg!",1,None,None
"mary's rock",40,None,None
"past mountain hut",18,None,None
"campside in symm's gap",6,None,None
"black rock viewpoint",2,None,None
"east hill b road (andover, me)",48,None,None
"pineola/ 19e",6,None,None
"campsite near fourth mtn",2,None,None
"devil's marbleyard",10,None,None
"trail days/ bristol",5,None,None
"rte 9 crossing",12,None,None
"n. woodstock , nh",2,None,None
"pleasant rd., 19 mi.",22,None,None
"woods near bear rocks",16,None,None
"happy birthday dan!!!!!!!",1,None,None
"carl a newall",2,None,None
"rock creek gap",2,None,None
"tye river valley",2,None,None
"bartram trail campsite mm114.7",14,None,None
"shelter blockrock",4,None,None
"pierce pond rd",2,None,None
"andy and katie's house",1,None,None
"brushy mountain",44,None,None
"riga leanto",4,None,None
"n.o.c. (nantahala outdoor center",24,None,None
"windind stair gap, franklin",3,None,None
"rd 311",1,None,None
"rocky, rocky day",4,None,None
"first entry via email",1,None,None
"elkville shelter",30,None,None
"the roderick’s in timberville",2,None,None
"franklin,nc",35,None,None
"grafton notch stealth camp",35,None,None
"south branch of carabasett river",12,None,None
"usfs86",4,None,None
"docery lake trail",1,None,None
"near laurel spring, va.",34,None,None
"amalacola falls state park, ga",1,None,None
"iron masters mansion hostel",41,None,None
"mount collins",73,35.593923,-83.47107
"garfield shelter",46,None,None
"south jersey",30,None,None
"state of blissness",2,None,None
"tenting - no shelter",3,None,None
"french broad river campsite",4,None,None
"route 341, conn.",2,None,None
"bus from bangor",3,None,None
"campsite on ridge one mile north of shartlesville",16,None,None
"falling behind",1,None,None
"johnson city, tn",55,None,None
"molley’s ridge shelter",2,None,None
"us 60 campsite",2,None,None
"louie's house",8,None,None
"atwell tent site",60,None,None
"gettysburg",155,None,None
"linden gas station",3,None,None
"beemis stream campground",6,None,None
"the next shelter",1,None,None
"us 11 / va 63",2,None,None
"east b hill rd (andover,me)",2,None,None
"glenwood house b&b",4,None,None
"campout by pa 433 in grassy field",4,None,None
"ramrock mountain",26,None,None
"bird cage hostel, ma",4,None,None
"baloo's place",10,None,None
"d>c>",2,None,None
"williamstown, vt",15,None,None
"whitetop mtn, lost mtn, straight mtn",2,None,None
"frosty mt.",2,None,None
"us-60",4,None,None
"glencliff hostel",33,None,None
"bearfall campsite",4,None,None
"wallace gap, old 64",2,None,None
"shippensburg rd (suburban md)",22,None,None
"s. egremonth road (shays' rebelion monument)",1,None,None
"dockery lake stream",4,None,None
"stratton maine",54,None,None
"palisades interstate parkway",17,None,None
"tenting next to nh 25a",32,None,None
"konnarock trail crew campground",10,None,None
"wentworth, nh",60,None,None
"stewart hollow branch lean-to",2,None,None
"just past tn/va state line",6,None,None
"top of s mountain",1,None,None
"kingsman pond shelter",4,None,None
"upper cold river road vt",26,None,None
"port clinto, pa",3,None,None
"mill road, vt",6,None,None
"hemlock hill shelter",35,None,None
"(near) poor mountain",12,None,None
"va 630, sinking creek",1,None,None
"n.o.c. in wesser, nc",1,None,None
"crawford pond outlet camped",16,None,None
"neels gap, ga",35,None,None
"webatuck shelter",44,None,None
"mtus virginia",1,None,None
"us2-gorham",3,None,None
"stewert hollow brook lean to",4,None,None
"campsie on top of cove mtn.",3,None,None
"rocoon branch shelter",6,None,None
"crawford notch (johnson hotel)",42,None,None
"the hiderlands of vermont",1,None,None
"pass mtn rd",2,None,None
"cove mt shelter",58,None,None
"stratton mtn ski hut",2,None,None
"the unknown",2,None,None
"roaring branch campsite",5,None,None
"west carrypond lean to",5,None,None
"blairsville nj",22,None,None
"campsite in rerouted area",2,None,None
"day 85: ct 55 north of hoyt rd",1,None,None
"alberta mountain.",2,None,None
"refuge la grive",4,None,None
"spruce park shelter",16,None,None
"middle carter mountain",26,None,None
"palmerton borough bldg.",4,None,None
"lost pond shelter",672,43.3476,-72.95257
"blueberry patch hoster",1,None,None
"shirando lake state park",2,None,None
"kay ward shelter",9,None,None
"hammock camp south of rattlesnake mt.",20,None,None
"abingdon shelter 3785' 6 am",30,None,None
"campsite near roaring branch (vt)",2,None,None
"pud's",6,None,None
"hawk mtn. shelter",98,None,None
"waiting....",1,None,None
"onwards",2,None,None
"williams brien shelter",4,None,None
"high top mtn hut",10,None,None
"cpeeper/at intersection",10,None,None
"sedentariness- pa",4,None,None
"ct 55 near wingdale, ny",11,None,None
"rainbow streem lean-to",2,None,None
"happy hiker hostel",14,None,None
"pictures are completed",68,None,None
"camp near pa225",10,None,None
"saltlog gap campsite",10,None,None
"campsite near damascus",6,None,None
"visitors center",21,None,None
"red barn lawn, vt",6,None,None
"long pond lean to",2,None,None
"stealth site at the econo lodge",2,None,None
"bangor airport",5,None,None
"reading, pa",24,None,None
"little bemus mountain",4,None,None
"green wall shelter",1,None,None
"maple hill",5,None,None
"farmer bob",2,None,None
"bald mtn brook shelter",110,None,None
"old bigelow lean-to",6,None,None
"will's apartment",4,None,None
"from havertown, pa to big meadow shenanadoah",32,None,None
"blue mt. b&b at pa hwy 309",34,None,None
"pickle's house in nc",6,None,None
"kinnsman's notch",2,None,None
"springer mountain shelter",168,34.62946,-84.19268
"ore hill camp",0,43.92183,-71.95744
"race brook falls campsite",2,None,None
"campsite near east b hill road",6,None,None
"rt. 12",46,None,None
"hexacuba shelter",1099,43.87623,-72.02686
"highway 19e",4,None,None
"us 19, wesser",6,None,None
"dalton, ma 1554.6",4,None,None
"stratton,me.",138,None,None
"ens. cowall shelter",2,None,None
"random campsite on side of trail",12,None,None
"ethans house in williamstown",15,None,None
"route 60/buena vista",2,None,None
"garfild ridge campsite",6,None,None
"spruce lane, west nyack, ny",2,None,None
"backpacker parking lot",1,None,None
"peter's mtn shelter",62,None,None
"update: the",8,None,None
"u.s. 201 caratunk",50,None,None
"river rd. killington, vt",1,None,None
"stream at mile marker 22.9",2,None,None
"spence field shelter",36,35.5617,-83.7322
"bob people's kincora hikers' hostel, 2500'",2,None,None
"coopers creek",2,None,None
"sarver cabin",124,None,None
"still in connecticut",1,None,None
"little gap, pa",34,None,None
"becket mountain",10,None,None
"campsite at buzzard rock",6,None,None
"somewhere north of neels gap",5,None,None
"walasi -yi hostel",2,None,None
"dunnefield creek, nj",1,None,None
"at night",1,None,None
"helveys mil shelter",4,None,None
"sautee, ga",3,None,None
"boy scout shelter",75,None,None
"group campsite c",8,None,None
"lyme nh",22,None,None
"uncle jim's near sevierville, tn",4,None,None
"east mt. retreat center",30,None,None
"coppermine spring campsite",8,None,None
"campsite after va670",6,None,None
"troutdale, virginia",16,None,None
"doyle river overlook",6,None,None
"knot mount branch shelter",4,None,None
"nantahla outdoor center, wesser",2,None,None
"st. yvon, quebec",2,None,None
"rt 60 wayside parking lot va",12,None,None
"mars hill mountain shelter",2,None,None
"banner elk, nc",8,None,None
"blackburned trail center",8,None,None
"lake of clouds amc hut",20,None,None
"shed @ heaven hill farm",2,None,None
"ledges near chairback mtn",2,None,None
"jarmens gap",2,None,None
"west cornwal, ct",2,None,None
"day 37: i-77 crossing near bastian, va",1,None,None
"apple house orchard",6,None,None
"thunndering brook road",2,None,None
"helveys mills shelter",31,None,None
"river road & at, ct",2,None,None
"river park north",26,None,None
"wesser lost mine campground",2,None,None
"stealth before garfield",4,None,None
"rt. 302",12,None,None
"jim and mally denton",4,None,None
"saddleback brook",82,None,None
"dad's house",36,None,None
"lost on the at",3,None,None
"wood's hole hostel, va",6,None,None
"ensign colwall shelter, md.",4,None,None
"charlottesville va",1,None,None
"i don't know...yet!!!",1,None,None
"rocky mountian",1,None,None
"is it time yet??",1,None,None
"peck corner",2,None,None
"little stoney man mountain,snp,va.",4,None,None
"dawrel creek",2,None,None
"n through the green mountains in vt",2,None,None
"the trail, finally!!!",3,None,None
"jenny's house",42,None,None
"ceres, va",19,None,None
"crabtree farm road",35,None,None
"after the presidentials",2,None,None
"hiawassee (holiday inn)",1,None,None
"firewarden cabin (smarts mt)",16,None,None
"cs n of us 76",2,None,None
"spruce shelter",18,None,None
"ati day 3",1,None,None
"tom levardi's house",3,None,None
"south twin mountain",14,None,None
"aroostook, nb (us border)",4,None,None
"1.9 mi n of south arm road",4,None,None
"goose pond cabin, mass",5,None,None
"newfound gap -gatlinburg",2,None,None
"ed. garvey shelter",4,None,None
"east b. hill road, me",362,None,None
"front royal - scottish inn",14,None,None
"lake winfield scott",1,None,None
"walnut shelter",12,None,None
"campsite before matt's creek",4,None,None
"campsite at mile 650.1",6,None,None
"troutdale, va",155,None,None
"we are missionaries",6,None,None
"us 340 bridge",12,None,None
"roan mountain high knob",1,None,None
"amicolola state park side trail",4,None,None
"my turn to 'turtle.'",1,None,None
"double spring shelter",253,None,None
"mileage update",4,None,None
"dream lake",138,None,None
"va55, linden va",18,None,None
"hexacuba",18,43.876258,-72.027344
"almost to dicks creek gap",2,None,None
"mile 421.3",3,None,None
"linden (front royal), va",12,None,None
"spring hill",2,None,None
"ice wather spring shelter",3,None,None
"sheep rock top",32,None,None
"whitehouse landing winderness camp",6,None,None
"crawford valley campsite",12,None,None
"lehigh shelter",7,None,None
"jerusalem road",9,None,None
"rainbow springs shelter",1,None,None
"on the river of darkness",2,None,None
